id;project_title;start_date;end_date;registration_dead_line;description;volunteer_task;max_volunteer;min_age;max_guest;volunteer_instructions;additional_project_details
1;contextually-based Home Loan Account Books;2020-07-28T21:01:02;2020-07-28T16:04:47;2020-07-28T02:12:02;relationships Refined Frozen Table Infrastructure;Assimilated Center;97216;73781;64529;functionalities Garden;Tasty Concrete Salad exploit
2;technologies benchmark synthesize;2020-07-28T00:11:27;2020-07-28T19:53:20;2020-07-28T10:38:30;Assistant Keyboard;Investment Account;52464;34608;65745;gold SMTP Berkshire;Tools Practical
3;Incredible Fresh Computer mobile;2020-07-28T21:29:42;2020-07-28T09:52:28;2020-07-28T04:01:46;Enhanced turquoise;Brand neural;35367;14173;90157;Handcrafted Buckinghamshire;Sleek Frozen Keyboard open-source Oklahoma
4;multi-byte navigating;2020-07-28T00:19:20;2020-07-28T19:28:42;2020-07-28T16:18:34;Codes specifically reserved for testing purposes cohesive;Optional Assurance Faroe Islands;86216;43504;41068;Malaysian Ringgit open-source Interactions;back-end
5;Intelligent Cotton Cheese;2020-07-28T07:13:55;2020-07-28T17:28:55;2020-07-28T03:13:12;pink;USB ivory index;73409;28217;6898;Corporate;quantifying
6;Buckinghamshire Mouse parsing;2020-07-28T11:28:13;2020-07-27T23:12:23;2020-07-28T09:41:49;Ethiopian Birr Technician;next-generation;78290;4492;4504;Money Market Account Zloty;Directives world-class
7;invoice Borders Bedfordshire;2020-07-27T23:20:23;2020-07-27T22:13:45;2020-07-28T09:59:47;Computer impactful mint green;Architect GB Uganda Shilling;72692;97523;12964;Ball Ecuador Wooden;Program Awesome
8;archive;2020-07-28T11:37:40;2020-07-28T10:36:03;2020-07-28T00:28:36;South Dakota;Georgia blue;42029;32063;46068;International District;local Architect hack
9;program mission-critical Saint Helena;2020-07-28T10:17:39;2020-07-28T15:18:22;2020-07-28T01:06:15;Ball exploit web-enabled;mobile withdrawal;86715;43445;18567;definition;blue
10;system Avon;2020-07-28T04:30:17;2020-07-28T08:58:02;2020-07-28T01:35:20;hacking;Haiti scalable;74128;8559;67539;leading-edge;Light olive hardware
