id;start_date;end_date;language
1;2020-07-28T15:19:46;2020-07-28T02:48:25;ENGLISH
2;2020-07-28T01:27:36;2020-07-28T04:40:38;ENGLISH
3;2020-07-28T01:29:57;2020-07-28T13:32:16;SPANISH
4;2020-07-28T12:28:11;2020-07-28T00:17:17;SPANISH
5;2020-07-28T00:42:14;2020-07-27T22:00:25;FRENCH
6;2020-07-28T00:05:13;2020-07-28T05:04:44;ENGLISH
7;2020-07-28T09:35:07;2020-07-28T21:01:57;FRENCH
8;2020-07-28T15:32:10;2020-07-28T09:25:54;ENGLISH
9;2020-07-28T13:10:42;2020-07-28T09:18:06;ENGLISH
10;2020-07-28T20:10:16;2020-07-28T11:10:20;SPANISH
